,Year,Jurisdiction,Gender,Average scale score
718,2007,Alaska,Male,238.0
719,2007,Alaska,Female,237.0
720,2007,Arizona,Male,233.0
721,2007,Arizona,Female,230.0
722,2007,Arkansas,Male,238.0
723,2007,Arkansas,Female,237.0
724,2007,California,Male,231.0
725,2007,California,Female,229.0
726,2007,Colorado,Male,242.0
727,2007,Colorado,Female,239.0
728,2007,Connecticut,Male,243.0
729,2007,Connecticut,Female,242.0
730,2007,Delaware,Male,242.0
731,2007,Delaware,Female,241.0
732,2007,Florida,Male,243.0
733,2007,Florida,Female,241.0
734,2007,Georgia,Male,236.0
735,2007,Georgia,Female,234.0
736,2007,Hawaii,Male,233.0
737,2007,Hawaii,Female,236.0
738,2007,Idaho,Male,242.0
739,2007,Idaho,Female,240.0
740,2007,Illinois,Male,239.0
741,2007,Illinois,Female,235.0
742,2007,Indiana,Male,246.0
743,2007,Indiana,Female,244.0
744,2007,Iowa,Male,244.0
745,2007,Iowa,Female,241.0
746,2007,Kansas,Male,249.0
747,2007,Kansas,Female,247.0
748,2007,Kentucky,Male,237.0
749,2007,Kentucky,Female,234.0
750,2007,Louisiana,Male,230.0
751,2007,Louisiana,Female,230.0
752,2007,Maine,Male,244.0
753,2007,Maine,Female,241.0
754,2007,Maryland,Male,242.0
755,2007,Maryland,Female,239.0
756,2007,Massachusetts,Male,254.0
757,2007,Massachusetts,Female,251.0
758,2007,Michigan,Male,238.0
759,2007,Michigan,Female,237.0
760,2007,Minnesota,Male,249.0
761,2007,Minnesota,Female,245.0
762,2007,Mississippi,Male,228.0
763,2007,Mississippi,Female,227.0
764,2007,Missouri,Male,240.0
765,2007,Missouri,Female,238.0
766,2007,Montana,Male,245.0
767,2007,Montana,Female,242.0
768,2007,Nebraska,Male,240.0
769,2007,Nebraska,Female,236.0
770,2007,Nevada,Male,233.0
771,2007,Nevada,Female,230.0
772,2007,New Hampshire,Male,250.0
773,2007,New Hampshire,Female,247.0
774,2007,New Jersey,Male,250.0
775,2007,New Jersey,Female,247.0
776,2007,New Mexico,Male,229.0
777,2007,New Mexico,Female,227.0
778,2007,New York,Male,244.0
779,2007,New York,Female,242.0
780,2007,North Carolina,Male,243.0
781,2007,North Carolina,Female,241.0
782,2007,North Dakota,Male,248.0
783,2007,North Dakota,Female,243.0
784,2007,Ohio,Male,246.0
785,2007,Ohio,Female,243.0
786,2007,Oklahoma,Male,238.0
787,2007,Oklahoma,Female,236.0
788,2007,Oregon,Male,238.0
789,2007,Oregon,Female,234.0
790,2007,Pennsylvania,Male,245.0
791,2007,Pennsylvania,Female,243.0
792,2007,Rhode Island,Male,236.0
793,2007,Rhode Island,Female,235.0
794,2007,South Carolina,Male,236.0
795,2007,South Carolina,Female,238.0
796,2007,South Dakota,Male,242.0
797,2007,South Dakota,Female,240.0
798,2007,Tennessee,Male,234.0
799,2007,Tennessee,Female,231.0
