Year,Jurisdiction,Gender,Average scale score
2007,Florida,Male,220
2007,Florida,Female,227
2007,Georgia,Male,216
2007,Georgia,Female,222
2007,Hawaii,Male,208
2007,Hawaii,Female,219
2007,Idaho,Male,221
2007,Idaho,Female,226
2007,Illinois,Male,217
2007,Illinois,Female,222
2007,Indiana,Male,219
2007,Indiana,Female,224
2007,Iowa,Male,222
2007,Iowa,Female,228
2007,Kansas,Male,221
2007,Kansas,Female,228
2007,Kentucky,Male,219
2007,Kentucky,Female,226
2007,Louisiana,Male,203
2007,Louisiana,Female,212
2007,Maine,Male,223
2007,Maine,Female,228
2007,Maryland,Male,221
2007,Maryland,Female,228
2007,Massachusetts,Male,233
2007,Massachusetts,Female,238
2007,Michigan,Male,216
2007,Michigan,Female,224
2007,Minnesota,Male,223
2007,Minnesota,Female,227
2007,Mississippi,Male,204
2007,Mississippi,Female,212
2007,Missouri,Male,216
2007,Missouri,Female,225
2007,Montana,Male,225
2007,Montana,Female,228
2007,Nebraska,Male,221
2007,Nebraska,Female,225
2007,Nevada,Male,208
2007,Nevada,Female,214
2007,New Hampshire,Male,226
2007,New Hampshire,Female,232
2007,New Jersey,Male,228
2007,New Jersey,Female,234
2007,New Mexico,Male,210
2007,New Mexico,Female,213
2007,New York,Male,220
2007,New York,Female,227
2007,North Carolina,Male,214
2007,North Carolina,Female,222
2007,North Dakota,Male,224
2007,North Dakota,Female,229
2007,Ohio,Male,223
2007,Ohio,Female,228
2007,Oklahoma,Male,214
2007,Oklahoma,Female,220
2007,Oregon,Male,212
2007,Oregon,Female,218
2007,Pennsylvania,Male,223
2007,Pennsylvania,Female,230
2007,Rhode Island,Male,215
2007,Rhode Island,Female,223
2007,South Carolina,Male,210
2007,South Carolina,Female,218
2007,South Dakota,Male,220
2007,South Dakota,Female,227
2007,Tennessee,Male,213
2007,Tennessee,Female,219
2007,Texas,Male,217
2007,Texas,Female,223
2007,Utah,Male,217
2007,Utah,Female,225
2007,Vermont,Male,225
2007,Vermont,Female,232
2007,Virginia,Male,224
2007,Virginia,Female,230
2007,Washington,Male,221
2007,Washington,Female,227
2007,West Virginia,Male,211
2007,West Virginia,Female,220
2007,Wisconsin,Male,222
2007,Wisconsin,Female,224
2007,Wyoming,Male,222
2007,Wyoming,Female,228
